Ten_Sach;SKU;The_Loai;Gia;Ten_NCC;Ten_NXB;Nam_XB;Ten_Tac_Gia;Trong_Luong;Kich_Thuoc;So_Trang;Hinh_Thuc;Mo_Ta
Từ Điển Thông Dụng Nhật - Việt - Anh (Daily Japanese - Vietnamese - English Dictionary);SKU: 8934974181576;Loại sản phẩm: sách;333,000₫;;NXB Trẻ;2022;Supervised by Kenji Tomita, Edited by Sanseido Co, Ltd;1200;;928;Bìa Mềm;"Từ điển Nhật Việt Anh, tuyển chọn các từ vựng thông dụng hàng ngày. Các đặc trưng: Khoảng 13,000 mục từ.Tra cứu đơn giản.Có đính kèm ""Hội thoại hàng ngày"", ""Sổ tay từ vựng trong nhiều lĩnh vực"""
Vừa Nhắm Mắt Vừa Mở Cửa Sổ - Phiên Bản Đặc Biệt;SKU: 8934974173052;Loại sản phẩm: Nhóm Sách Thiếu Nhi;183,600₫;;;;;;;;;Vừa Nhắm Mắt Vừa Mở Cửa Sổ - Phiên Bản Đặc Biệt Tác phẩm gồm những câu chuyện ngắn xoay quanh cuộc sống thường ngày của một đứa trẻ mười tuổi, từ những thứ nhỏ nhặt như cái răng khểnh, ngón tay cho đến chuyện mất mát của đời người. Có vui, có buồn, có được, có mất như cuộc sống vẫn diễn ra, nhưng cảm nhận và cách nhìn của cậu bé làm cho mỗi người lớn phải suy ngẫm. Trong trẻo, sống động, đầy chất thơ, lại chứa đựng nhiều ý nghĩa sâu sắc, tác phẩm là một thế giới dung dị mà trong trẻo ngọt ngào dành cho cho tuổi thơ, đồng thời cũng là thông điệp dành cho người lớn: hãy nhắm mắt và mở lòng - mở cánh cửa của chính mình - hãy nhìn cuộc sống bằng tất cả các giác quan để cảm nhận, thấu hiểu, yêu thương, để quan tâm và để nhớ. Vừa Nhắm Mắt Vừa Mở Cửa Sổ đã giành được Giải A cuộc Vận động sáng tác văn học cho thiếu nhi năm 2002 do Nhà xuất bản Trẻ và Hội Nhà văn TP. HCM tổ chức và được phát hành lần đầu năm 2004. Đến nay, tác phẩm đã tái bản 29 lần với số lượng phát hành hơn 50 ngàn bản. Năm 2007, truyện được dịch qua tiếng Thuỵ Điển với tên Blunda och öppna ditt fönster và đến năm 2008 đã giành được giải Peter Pan của Thuỵ Điển cho mảng văn học thiếu nhi. Ngoài ra, sách cũng được chuyển ngữ sang tiếng Anh dưới tên Open the windows, eyes closed, được bán tác quyền sang Hàn Quốc... Phiên bản đặc biệt kỷ niệm 40 năm ngày thành lập NXB Trẻ được in màu hoàn toàn với những tranh minh họa do chính tác giả vẽ.
Harry Potter Và Hội Phượng Hoàng - Tập 5;SKU: 8934974148722;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;347,900₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;J. K. Rowling;;;;;Harry tức giận vì bị bỏ rơi ở nhà Dursley trong dịp hè, cậu ngờ rằng Chúa tể hắc ám Voldemort đang tập hợp lực lượng, và vì cậu có nguy cơ bị tấn công, những người Harry luôn coi là bạn đang cố che giấu tung tích cậu. Cuối cùng, sau khi được giải cứu, Harry khám phá ra rằng giáo sư Dumbledore đang tập hợp lại Hội Phượng Hoàng – một đoàn quân bí mật đã được thành lập từ những năm trước nhằm chống lại Chúa tể Voldemort. Tuy nhiên, Bộ Pháp thuật không ủng hộ Hội Phượng Hoàng, những lời bịa đặt nhanh chóng được đăng tải trên Nhật báo Tiên tri – một tờ báo của giới phù thủy, Harry lo ngại rằng rất có khả năng cậu sẽ phải gánh vác trách nhiệm chống lại cái ác một mình. Harry Potter Và Hội Phượng Hoàng - Tập 5 Harry tức giận vì bị bỏ rơi ở nhà Dursley trong dịp hè, cậu ngờ rằng Chúa tể hắc ám Voldemort đang tập hợp lực lượng, và vì cậu có nguy cơ bị tấn công, những người Harry luôn coi là bạn đang cố che giấu tung tích cậu. Cuối cùng, sau khi được giải cứu, Harry khám phá ra rằng giáo sư Dumbledore đang tập hợp lại Hội Phượng Hoàng – một đoàn quân bí mật đã được thành lập từ những năm trước nhằm chống lại Chúa tể Voldemort. Tuy nhiên, Bộ Pháp thuật không ủng hộ Hội Phượng Hoàng, những lời bịa đặt nhanh chóng được đăng tải trên Nhật báo Tiên tri – một tờ báo của giới phù thủy, Harry lo ngại rằng rất có khả năng cậu sẽ phải gánh vác trách nhiệm chống lại cái ác một mình. ‘Hoang đường nhưng không hoang tưởng, trí tưởng tượng của Rowling cùng sự táo bạo của cô đã tạo cho cô một phong cách riêng.’ - The Times.
Dịch Tượng Luận - Tử Vi Bí Kiếp - Di Cảo;SKU: 8934974171447;Loại sản phẩm: Nhóm Sách Phong Thủy - Kinh Dịch;352,800₫;;;;;;;;;"1/ Dịch Tượng Luận: Học Dịch rất khó. Khó vì, hiểu Dịch không phải ở hiểu Lời mà phải hiểu ở Tượng, nhưng cũng chưa phải ở Tượng mà ở Ý, vì ""Ý tại ngôn ngoại"". Tượng là biểu tượng, hình tượng, những hình tượng trong thiên nhiên chứa nhiều ý nghĩa của quy luật chung. Sự vật trong thiên nhiên vốn thiên hình vạn trạng, bậc thánh nhân xưa làm ra Kinh Dịch chỉ nhìn Tượng của sự vật mà đoán biết được Ý của thiên nhiên, tức Thiên ý, nghĩa là biết được những quy luật vận hành của vũ trụ vạn vật. Tiếp sau 2 quyển Dịch Kinh Tường Giải, Thượng và Hạ, giới thiệu tổng quát ý nghĩa của 64 quẻ, học giả Thu Giang Nguyễn Duy Cần giới thiệu tiếp đến bạn đọc phần khó hơn của Kinh Dịch đó là Tượng với tác phẩm Dịch Tượng Luận. 2/ Tử Vi Bí Kiếp: Trong những khoa ứng dụng Kinh Dịch chúng ta thấy khoa Tử Vi có giá trị nhiều nhất vì nó lấy con người làm đối tượng nghiên cứu. Tử Vi là một bộ môn dự báo tương lai bắt nguồn từ Kinh Dịch, do bị bí truyền nên mang màu sắc thần bí và được sử dụng như một hình thức bói toán dân gian. Qua tác phẩm Tử Vi Bí Kiếp, học giả Thu Giang giới thiệu đến người họcTử Vi một cái nhìn triết học về khoa này mà tác giả gọi là ""Tử Vi Hình Nhi Thượng Học"". Sách giúp người đọc giải tỏa những thắc mắc, mâu thuẫn trong khoa Tử Vi mà đến nay vẫn chưa có sách nào giải đáp cho thỏa đáng. Tử Vi Bí Kiếp là một bổ sung quý trong kho tàng ứng dụng và phát huy Dịch học."
Óc Sáng Suốt - Thuật Tư Tưởng - Tôi Tự Học Để Trở Thành Nhà Văn;SKU: 8934974162940;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;382,200₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Thu Giang Nguyễn Duy Cần;1700;15 x 23;701;Bìa Cứng;Là tuyển tập tổng hợp những tác phẩm mang nội dung tự học, tự huấn luyện tư tưởng của Thu Giang Nguyễn Duy Cần, giúp độc giả tự học hỏi, tự nghiên cứu cũng như tự trang bị cho mình những kiến thức nền tảng cửa những ngành học then chốt trong cuộc sống. Là tuyển tập tổng hợp những tác phẩm mang nội dung tự học, tự huấn luyện tư tưởng của Thu Giang Nguyễn Duy Cần, giúp độc giả tự học hỏi, tự nghiên cứu cũng như tự trang bị cho mình những kiến thức nền tảng cửa những ngành học then chốt trong cuộc sống.
Thời Thơ Ấu Dài Lâu - Nguyễn Nhật Ánh - Boxset Xanh Ngọt Ngào (Bộ 24 Cuốn);SKU: 8934974178859;Loại sản phẩm: SÁCH;2,205,000₫;;NXB Trẻ;2022;Nguyễn Nhật Ánh;6000;13 x 20 cm;3840;Bộ Hộp;"Sản phẩm thuộc: Top bộ Truyện Nguyễn Nhật Ánh bán chạy nhất Thời Thơ Ấu Dài Lâu - Nguyễn Nhật Ánh - Boxset Xanh Ngọt Ngào - Bộ 24 Cuốn - Khổ lớn Boxset 24 cuốn - Thời thơ ấu dài lâu sẽ là quà tặng xứng đáng dành cho các bạn đọc yêu quý với phiên bản : Phiên bản xanh ngọt ngào, thần thánh của 10 năm trước, nhưng lần trở lại này là khổ sách bỏ túi dễ thương 10x14.5cm. Khổ xinh xắn nhưng thiết kế chữ công phu đủ để bạn đọc thưởng thức trọn vẹn độ hấp dẫn câu chuyện của tác phẩm. Ở mặt ngoài boxset của 2 phiên bản có tranh minh hoạ của hoạ sĩ Đỗ Hoàng Tường ; bài thơ vui của nhà nghiên cứu phê bình văn học nổi tiếng Phạm Xuân Nguyên làm từ 24 tựa của bộ sách này. Boxset 24 cuốn - Thời thơ ấu dài lâu bao gồm 24 tựa sách: 1. Bàn có năm chỗ ngồi 2. Bồ câu không đưa thư 3. Bong bóng lên trời 4. Buổi chiều windows 5. Chú bé rắc rối 6. Chuyện cổ tích dành cho người lớn 7. Cô gái đến từ hôm qua 8. Còn chút gì để nhớ 9. Đi qua hoa cúc 10. Hạ đỏ 11. Hoa hồng xứ khác 12. Mắt biếc 13. Ngôi trường mọi khi 14.Những chàng trai xấu tính 15. Những cô em gái 16. Nữ sinh 17. Phòng trọ 3 người 18. Quán gò đi lên 19. Thằng quỷ nhỏ 20. Thiên thần nhỏ của tôi 21. Trại hoa vàng 22. Trước vòng chung kết 23. Út Quyên và tôi 24. Bảy bước tới mùa hè"
TS Thu Giang - Nguyễn Duy Cần nhập môn triết học đông phương;SKU: 8934974164166;Loại sản phẩm: Nhóm Sách Pháp Luật - Chính Trị - Triết Học;421,400₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Nguyễn Duy Cần;1280;16 x 23;846;Bìa Cứng;Thu Giang Nguyễn Duy Cần (Nhập Môn Triết Học Đông Phương - Tinh Hoa Đạo Đông Phương - Văn Minh Đông Phương Và Tây Phương - Cái Cười Của Thánh Nhân - Toàn Chân Triết Luận - Thanh Dạ Văn Chung) Là tác phẩm tổng hợp 6 tác phẩm biên khảo về Đạo học và triết học phương Đông của học giả Thu Giang Nguyễn Duy Cần. Vấn đề chính yếu tác giả đề cập trong tác phẩm là sự chuyên khảo về học thuật Lão Tử, Trang Tử và Kinh Dịch có so sánh và đối chiếu với văn minh Lượng của Tây phương và cái học Nhị nguyên của Nho học.
Bộ Sách Tự Học - Tự Rèn Luyện - Ấn Bản Hoài Cổ - Bộ 3 Cuốn;SKU: 8934974184553;Loại sản phẩm: SÁCH;369,000₫;;Trẻ;2023;Thu Giang Nguyễn Duy Cần;1200;23 x 15.5 cm;1000;Bìa Mềm;Bộ sách gồm 3 cuốn: 1. TS Thu Giang - Óc sáng suốt (ấn bản hoài cổ) Óc sáng suốt là một trong những tác phẩm tiêu biểu của học giả Thu Giang - Nguyễn Duy Cần. Thông qua cuốn sách này, tác giả hướng dẫn cho người đọc những phương pháp để rèn luyện cho mình một bộ óc minh mẫn và sáng suốt, tư duy có hiệu quả để thành công trong công việc và cuộc sống. Cuốn sách này xuất bản lần đầu tiên cách đây hơn nửa thế kỷ (1952), dù đã trải qua một thời gian rất dài nhưng giá trị tư tưởng của sách vẫn phù hợp và có thể áp dụng trong đời sống hiện nay. Trân trọng giới thiệu cùng độc giả. 2. TS Thu Giang - Thuật tư tưởng (ấn bản hoài cổ) THUẬT TƯ TƯỞNG là cuốn sách hướng dẫn các phương pháp suy luận, phân tích giúp người đọc có thể phán đoán một cách chính xác, logic theo tinh thần khoa học. Vì tư tưởng mà sai thì mọi lý luận và học hỏi đi theo phía sau nó cũng sẽ sai theo nên tập suy nghĩ cho đúng đắn là một việc làm tối cần thiết trước khi đi vào một học hỏi nghiên cứu nào, suy nghĩ, tư tưởng là một tiền đề tối quan trọng cần phải hiểu biết và rèn luyện trước tiên. Đây là cuốn sách nằm trong bộ ba cuốn sách rèn luyện phương pháp tự học của học giả Thu Giang Nguyễn Duy Cần, giúp các bạn thanh thiếu niên có một phương pháp học tập, làm việc đúng đắn và hợp lý. 3. TS Thu Giang - Tôi tự học (ấn bản hoài cổ) Sách “Tôi tự học” của tác giả Nguyễn Duy Cần đề cập đến khái niệm, mục đích của học vấn đối với con người đồng thời nêu lên một số phương pháp học tập đúng đắn và hiệu quả. Tác giả cho rằng giá trị của học vấn nằm ở sự lĩnh hội và mở mang tri thức của con người chứ không đơn thuần thể hiện trên bằng cấp. Trong xã hội ngày nay, không ít người quên đi ý nghĩa đích thực của học vấn, biến việc học của mình thành công cụ để kiếm tiền nhưng thực ra nó chỉ là phương tiện để đưa con người đến thành công mà thôi. Bởi vì học không phải để lấy bằng mà học còn để “biết mình” và để “đối nhân xử thế”. Cuốn sách này tuy đã được xuất bản từ rất lâu nhưng giá trị của sách vẫn còn nguyên vẹn. Những tư tưởng, chủ đề của sách vẫn phù hợp và có thể áp dụng trong đời sống hiện nay. Thiết nghĩ, cuốn sách này rất cần cho mọi đối tượng bạn đọc vì không có giới hạn nào cho việc truy tầm kiến thức, việc học là sự nghiệp lâu dài của mỗi con người. Đặc biệt, cuốn sách là một tài liệu quý để các bạn học sinh – sinh viên tham khảo, tổ chức lại việc học của mình một cách hợp lý và khoa học. Các bậc phụ huynh cũng cần tham khảo sách này để định hướng và tư vấn cho con em mình trong quá trình học tập.
Dịch Kinh Tường Giải - Di Cảo (Quyển Hạ);SKU: 8934974163886;Loại sản phẩm: Nhóm Sách Phong Thủy - Kinh Dịch;352,800₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Thu Giang Nguyễn Duy Cần;960;16 x 23;598;Bìa Cứng;Dịch kinh Tường Giải là bộ sách phân tích và giải thích đầy đủ 64 quẻ của kinh Dịch theo tinh thần khoa học. Dịch kinh Tường Giải là bộ sách phân tích và giải thích đầy đủ 64 quẻ của kinh Dịch theo tinh thần khoa học. Tác giả đã vận dụng các kiến thức của khoa học tự nhiên cũng như xã hội hiện đại để phân tích, tổng hợp và lý giải, chứng minh kinh Dịch thể hiện sự vận hành các quy luật tự nhiên của vũ trụ và quy luật vận động các hiện tượng xã hội từ cổ chí kim.
Suối Nguồn - The Fountainhead - Bìa Cứng;SKU: 8934974184140;Loại sản phẩm: SÁCH;405,000₫;;NXB Trẻ;2023;Ayn Rand;2000;23 x 15.5 cm;1204;Bìa Cứng;Suối nguồn (The Fountainhead) tiểu thuyết của Ayn Rand, tác giả có ảnh hưởng lớn nhất đến độc giả Mỹ trong thế kỷ 20. - Tác phẩm đã bán được 6 triệu bản trong hơn 60 năm qua kể từ khi xuất bản lần đầu (năm 1943). - Được dịch ra nhiều thứ tiếng và vẫn liên tục được tái bản hàng năm. - Một tiểu thuyết kinh điển cần đọc nay đã có mặt tại Việt Nam với bản dịch tiếng Việt. Xin trân trọng giới thiệu cùng quý độc giả.
